model_name,rmse_mean,rmse_std,mae_mean,mae_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,ndcg_at_10_mean,ndcg_at_10_std,coverage_at_10_mean,coverage_at_10_std
knn_with_means,1.1146337010457947,0.03728781719331613,0.9251040195831461,0.024477245731316724,0.08453629833829537,0.020130470945772992,0.01779313737781802,0.003167518655010052,0.09722640564869511,0.022262111375476783,0.05741214477467773,0.004836422114905568
popularity_baseline,1.13172438758331,0.03611541380731959,0.9474063784067857,0.024426484827578032,0.1978246228808923,0.035458275982209665,0.058134989016397465,0.019338194700499314,0.19307910795609234,0.03238939466047967,0.026822378502626955,0.0010312647599079005
svd,1.0484546109368036,0.044560818825448566,0.8287950344435974,0.032165992663043166,0.1706652817479741,0.04505595639363292,0.04562499088404669,0.013242717708652083,0.1614493411527714,0.040100536937393676,0.08215214420410552,0.020154869347406783
